model_tier,model_id,source_folder,threshold,rows,accuracy,macro_f1,spam_precision,spam_recall,safe_precision,safe_recall,false_positive_rate,false_negative_rate,true_safe,true_spam,false_positives,false_negatives,pred_safe,pred_spam,parse_ok_rate,min_macro_f1_bar,min_spam_recall_bar,max_false_positive_rate_bar,clears_zero_shot_bar
E2B,google/gemma-4-E2B-it,personal_image_ham,0.05,200,0.055,0.0521327014218,0,0,1,0.055,0.945,0,200,0,189,0,11,189,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.06,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.07,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.08,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.09,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.10,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.11,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.12,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.13,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.14,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.15,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.16,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.17,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.18,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.19,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
