model_tier,tau_low,tau_high,cost,policy_cost,policy_ok,false_negative,hard_false_positive,soft_false_positive,scam_missed_safe,scam_escalated_suspicious,scam_caught_scam,safe_passed_safe,safe_escalated_suspicious,safe_flagged_scam,scam_miss_rate,scam_capture_rate,hard_false_positive_rate,soft_false_positive_rate,suspicious_rate,decisive_rate,n
E2B,0.05,0.4,75.30000000000001,376.07500000000005,False,7,12,659,7,233,15,329,659,12,0.027450980392156862,0.9725490196078431,0.012,0.659,0.7107569721115538,0.2892430278884462,1255
E4B,0.3,0.7,75.30000000000001,75.60000000000001,False,11,251,141,11,6,238,608,141,251,0.043137254901960784,0.9568627450980393,0.251,0.141,0.11713147410358565,0.8828685258964143,1255
E2B,0.05,0.25,75.39999999999999,375.67499999999995,False,7,13,658,7,233,15,329,658,13,0.027450980392156862,0.9725490196078431,0.013,0.658,0.7099601593625497,0.2900398406374502,1255
E2B,0.05,0.3,75.39999999999999,375.67499999999995,False,7,13,658,7,233,15,329,658,13,0.027450980392156862,0.9725490196078431,0.013,0.658,0.7099601593625497,0.2900398406374502,1255
E4B,0.25,0.7,75.4,75.7,False,11,251,142,11,6,238,607,142,251,0.043137254901960784,0.9568627450980393,0.251,0.142,0.11792828685258964,0.8820717131474104,1255
E4B,0.3,0.65,75.5,75.8,False,11,253,139,11,6,238,608,139,253,0.043137254901960784,0.9568627450980393,0.253,0.139,0.11553784860557768,0.8844621513944223,1255
E4B,0.25,0.65,75.6,75.89999999999999,False,11,253,140,11,6,238,607,140,253,0.043137254901960784,0.9568627450980393,0.253,0.14,0.11633466135458168,0.8836653386454183,1255
E4B,0.4,0.55,75.6,75.75,False,11,288,70,11,3,241,642,70,288,0.043137254901960784,0.9568627450980393,0.288,0.07,0.05816733067729084,0.9418326693227091,1255
E4B,0.4,0.6,75.6,75.75,False,11,288,70,11,3,241,642,70,288,0.043137254901960784,0.9568627450980393,0.288,0.07,0.05816733067729084,0.9418326693227091,1255
E4B,0.35,0.55,76.0,76.15,False,11,288,74,11,3,241,638,74,288,0.043137254901960784,0.9568627450980393,0.288,0.074,0.06135458167330677,0.9386454183266932,1255
E4B,0.35,0.6,76.0,76.15,False,11,288,74,11,3,241,638,74,288,0.043137254901960784,0.9568627450980393,0.288,0.074,0.06135458167330677,0.9386454183266932,1255
E4B,0.4,0.5,77.70000000000002,77.80000000000001,False,11,309,49,11,2,242,642,49,309,0.043137254901960784,0.9568627450980393,0.309,0.049,0.04063745019920319,0.9593625498007968,1255
E4B,0.35,0.5,78.10000000000001,78.2,False,11,309,53,11,2,242,638,53,309,0.043137254901960784,0.9568627450980393,0.309,0.053,0.043824701195219126,0.9561752988047809,1255
E2B,0.05,0.2,78.6,362.875,False,7,45,626,7,233,15,329,626,45,0.027450980392156862,0.9725490196078431,0.045,0.626,0.6844621513944223,0.3155378486055777,1255
E4B,0.3,0.55,79.0,79.15,False,11,288,104,11,3,241,608,104,288,0.043137254901960784,0.9568627450980393,0.288,0.104,0.08525896414342629,0.9147410358565737,1255
E4B,0.3,0.6,79.0,79.15,False,11,288,104,11,3,241,608,104,288,0.043137254901960784,0.9568627450980393,0.288,0.104,0.08525896414342629,0.9147410358565737,1255
E4B,0.25,0.55,79.1,79.25,False,11,288,105,11,3,241,607,105,288,0.043137254901960784,0.9568627450980393,0.288,0.105,0.08605577689243028,0.9139442231075697,1255
E4B,0.25,0.6,79.1,79.25,False,11,288,105,11,3,241,607,105,288,0.043137254901960784,0.9568627450980393,0.288,0.105,0.08605577689243028,0.9139442231075697,1255
E4B,0.4,0.45,79.2,79.2,False,11,324,34,11,0,244,642,34,324,0.043137254901960784,0.9568627450980393,0.324,0.034,0.027091633466135457,0.9729083665338646,1255
E4B,0.35,0.45,79.6,79.6,False,11,324,38,11,0,244,638,38,324,0.043137254901960784,0.9568627450980393,0.324,0.038,0.030278884462151396,0.9697211155378486,1255
E4B,0.3,0.5,81.10000000000001,81.2,False,11,309,83,11,2,242,608,83,309,0.043137254901960784,0.9568627450980393,0.309,0.083,0.06772908366533864,0.9322709163346613,1255
E4B,0.2,0.9,81.2,118.67499999999998,False,9,176,370,9,17,229,454,370,176,0.03529411764705882,0.9647058823529412,0.176,0.37,0.3083665338645418,0.6916334661354582,1255
E4B,0.25,0.5,81.20000000000002,81.30000000000001,False,11,309,84,11,2,242,607,84,309,0.043137254901960784,0.9568627450980393,0.309,0.084,0.06852589641434263,0.9314741035856574,1255
E4B,0.2,0.85,81.7,116.675,False,9,181,365,9,17,229,454,365,181,0.03529411764705882,0.9647058823529412,0.181,0.365,0.3043824701195219,0.6956175298804781,1255
E2B,0.05,0.15,81.9,349.125,False,7,78,593,7,232,16,329,593,78,0.027450980392156862,0.9725490196078431,0.078,0.593,0.6573705179282868,0.3426294820717131,1255
